name1,nam2,money_1,money_2,result
59,15,0.3,1.27,-1
59,15,0.3,1.14,0
6,15,4.25,1.45,0
52,15,0.73,1.27,-1
7,15,3.45,1.45,0
4,15,4.67,1.55,0
45,15,1.55,1.55,-1
6,15,4.19,1.43,1
19,15,0.6,1.26,0
196,15,0.015,1.08,-1
16,15,1.37,1.25,-1
56,15,0.42,1.15,-1
144,15,0.04,1.25,-1
72,15,0.11,1.24,-1
64,43,0.574,0.669,0
28,43,1.23,0.665,1
77,43,0.173,0.653,1
141,43,0.01,0.869,-1
37,43,0.988,0.522,-1
37,43,0.988,0.522,-1
37,43,1.01,0.62,1
54,43,0.665,0.504,0
39,43,1.27,0.89,0
126,43,0.28,0.89,-1
129,43,0.062,0.91,-1
71,43,0.092,0.89,0
138,43,0.0118,0.91,-1
54,43,0.302,0.88,-1
48,43,1.62,0.86,-1
124,43,0.055,0.856,-1
114,43,0.32,0.85,-1
114,43,0.32,0.74,-1
48,43,1.54,0.68,1
124,43,0.05,0.85,-1
32,43,1.11,0.85,0
32,43,1.05,0.8,-1
137,43,0.025,0.75,-1
66,50,0.68,0.12,-1
29,50,0.264,0.1352,0
41,50,1.41,0.1258,1
63,50,0.854,0.1012,0
72,50,0.1105,0.1045,-1
39,50,0.161,0.1065,0
37,50,0.2118,0.1285,1
70,50,0.738,0.1285,-1
68,50,0.05,0.128,-1
75,50,0.025,0.1325,-1
85,50,0.05,0.1115,-1
123,50,0.08,0.1425,0
21,50,0.835,0.135,1
49,50,0.489,0.135,1
9,50,2.58,0.165,1
92,50,0.229,0.135,0
16,50,1.1,0.14,1
74,50,0.0335,0.135,-1
80,50,0.05,0.12,-1
60,50,0.1138,0.105,0
75,50,0.0392,0.125,-1
68,44,0.05,0.3745,0
24,44,0.386,0.912,0
51,44,0.1168,0.8875,0
71,44,0.0452,0.5965,-1
13,44,0.735,0.6485,0
32,44,1.55,0.5825,-1
3,44,2.31,0.565,0
47,44,0.548,0.511,1
23,44,0.376,0.571,0
1,44,4.29,0.5785,0
74,44,0.05,0.1935,0
29,44,0.4225,0.4645,-1
57,44,0.2055,0.3175,-1
13,44,0.233,0.315,-1
17,44,1.34,0.305,-1
57,44,0.245,0.3175,0
82,44,0.0525,0.3485,-1
14,44,1.98,0.425,1
82,44,0.06,0.35,-1
1,44,3.65,0.29,1
23,44,0.376,0.36,1
2,8,2.47,2.32,-1
26,8,1.72,3.39,-1
19,8,0.9885,2.54,-1
26,8,1.37,2.58,0
19,8,0.9335,2.341,-1
2,8,2.64,3.07,-1
11,8,4.24,3.54,0
10,8,1.66,3.62,-1
42,8,0.997,3.88,-1
69,8,0.4202,3.83,0
45,8,1.88,3.75,-1
42,8,0.8,3.5,0
35,8,1.63,3.05,1
27,8,0.615,2.85,-1
40,8,1.99,2.9,0
45,8,1.5,3.8,1
11,5,4.74,6.16,0
6,5,2.99,6.44,1
36,5,0.728,5.18,1
6,5,2.98,5.85,0
11,5,4.03,5.86,0
36,5,0.828,5.72,1
48,5,1.57,5.31,-1
15,5,1.23,4.72,-1
66,5,0.6205,5.66,-1
36,5,0.85,5.25,0
26,5,1.65,5.8,0
10,5,1.79,6.3,-1
27,5,1.61,5.7,-1
11,5,4.5,5.9,-1
35,5,0.85,5.2,-1
40,5,1.8,5.5,0
12,5,1.65,5.7,-1
34,5,1.2,5.9,-1
27,19,1.61,0.87,-1
34,19,2.04,0.953,-1
11,5,4.74,6.16,0
6,5,2.99,6.44,1
48,5,1.57,5.31,-1
15,5,1.23,4.72,-1
11,5,4.03,5.86,0
99,20,0.0355,0.4365,-1
28,20,1.16,0.3888,1
70,20,0.0695,0.3418,-1
99,20,0.05,0.417,-1
14,20,2.62,0.347,-1
13,16,1.32,1.31,0
60,16,0.1138,1.1,-1
22,16,1.34,1.2,-1
41,16,0.89,1.65,1
80,16,0.102,1.35,-1
2,19,2.73,0.9045,1
8,19,2.54,0.9885,1
17,3,1.47,2.79,-1
29,3,0.615,2.81,-1
44,3,0.565,2.31,0
6,3,3.17,3.05,-1
57,3,0.476,2.17,-1
16,51,1.62,0.1098,0
60,51,0.0695,0.147,0
38,51,0.176,0.1415,-1
24,51,0.449,0.1595,-1
23,13,0.352,1.02,-1
64,13,0.08,0.464,0
44,13,0.6485,0.735,0
8,26,3.39,1.72,1
2,26,1.71,1.64,1
19,26,0.382,1.6,-1
25,26,1.35,1.95,-1
29,26,0.367,0.791,-1
10,4,2.14,5.21,1
4,10,5.21,2.14,-1
34,4,1.57,5.07,-1
12,4,1.7,5.32,1
48,4,2.01,4.92,-1
67,4,0.0228,4.76,-1
70,38,0.118,0.2282,-1
105,38,0.1665,0.2512,-1
23,38,0.3135,0.2228,1
24,38,0.465,0.1935,1
34,10,1.2,1.74,-1
4,10,6.3,1.68,-1
21,10,1.85,1.76,-1
12,10,2.48,1.82,1
29,30,0.366,0.2308,-1
24,30,0.66,0.1735,-1
32,30,1.55,0.262,-1
46,30,1.3,0.2068,-1
54,30,0.4908,0.342,1
84,7,0.08,3.94,-1
15,7,1.5,3.72,1
35,7,0.82,3.51,-1
66,7,0.66,4.29,-1
9,7,5.3,3.8,-1
50,41,0.1258,1.41,-1
80,41,0.05,1,1
14,41,2.35,1.43,1
24,41,0.46,0.798,-1
67,22,0.0998,1.6,-1
73,22,0.5745,1.32,-1
39,22,1.29,1.77,1
29,22,0.44,1.84,-1
10,12,1.82,2.48,-1
51,12,0.128,1.6,-1
