47	9	-1
53	26	0
18	45	-1
21	19	0
49	48	-1
5	56	1
29	55	-1
1	22	1
35	28	0
30	52	-1
15	11	1
13	57	1
17	46	-1
38	23	-1
18	21	-1
43	24	-1
19	45	-1
35	5	-1
52	46	0
55	1	-1
13	15	1
21	23	0
52	5	-1
45	24	0
13	1	1
5	23	1
13	45	1
45	23	-1
13	5	0
18	14	0
13	36	0
50	17	-1
16	21	-1
29	24	0
42	51	1
55	58	1
35	23	-1
12	19	-1
7	22	-1
9	5	0
61	60	0
45	48	0
63	1	-1
6	59	1
46	15	1
36	14	1
17	21	-1
16	50	-1
18	13	1
58	23	1
29	42	0
51	24	0
22	19	-1
35	55	0
12	7	1
9	61	1
60	5	0
48	1	-1
63	45	-1
46	6	-1
59	15	-1
36	18	1
14	13	1
17	16	0
21	50	1
24	42	1
51	29	-1
23	55	1
58	35	-1
5	61	-1
60	9	0
22	12	1
19	7	1
1	45	0
48	63	1
15	6	1
59	46	0
17	36	-1
55	29	1
24	23	-1
18	21	-1
61	19	-1
6	1	-1
